"","Sampleid_t","Purity_t","Ploidy_t","submitter_id_t","capture_kit_t","Sampleid_paired","Purity_paired","Ploidy_paired","submitter_id_paired","capture_kit_paired","Purity_ABS","Ploidy_ABS","diff","rank"
"2","TCGA-04-1332-01A-01W",0.55,2.72362178026807,"TCGA-04-1332-01","S0293689","TCGA-04-1332-01A-01W",0.31,2.18123014338272,"TCGA-04-1332-01","S0293689",0.5,2.76,0.03637821973193,1
"4","TCGA-04-1336-01A-01W",0.87,1.79844785906126,"TCGA-04-1336-01","S0293689","TCGA-04-1336-01A-01W",0.88,1.79837325277197,"TCGA-04-1336-01","S0293689",0.92,1.86,0.0615521409387401,1
"5","TCGA-04-1343-01A-01W",0.56,3.07033279115721,"TCGA-04-1343-01","931070","TCGA-04-1343-01A-01W",0.56,3.07010055252418,"TCGA-04-1343-01","931070",0.61,3.11,0.0396672088427898,1
"8","TCGA-04-1346-01A-01W",0.51,3.33170171434401,"TCGA-04-1346-01","S0293689","TCGA-04-1346-01A-01W",0.5,3.3388867772171,"TCGA-04-1346-01","S0293689",0.54,3.4,0.0682982856559899,1
"9","TCGA-04-1347-01A-01W",0.85,4.19186485252538,"TCGA-04-1347-01","931070","TCGA-04-1347-01A-01W",0.84,4.19624437075671,"TCGA-04-1347-01","931070",0.94,4.29,0.0981351474746202,1
"11","TCGA-04-1348-01A-01W",0.72,1.92446590546945,"TCGA-04-1348-01","931070","TCGA-04-1348-01A-01W",0.72,1.92298973980924,"TCGA-04-1348-01","931070",0.76,1.93,0.00553409453054998,1
"14","TCGA-04-1349-01A-01W",0.72,3.34347035702122,"TCGA-04-1349-01","S0293689","TCGA-04-1349-01A-01W",0.72,3.34332566979778,"TCGA-04-1349-01","S0293689",0.76,3.39,0.04652964297878,1
"15","TCGA-04-1361-01A-01W",0.69,1.91159460148247,"TCGA-04-1361-01","931070","TCGA-04-1361-01A-01W",0.68,1.93355427102936,"TCGA-04-1361-01","931070",0.69,1.95,0.0384053985175299,1
"18","TCGA-04-1362-01A-01W",0.77,3.15285657664947,"TCGA-04-1362-01","S0293689","TCGA-04-1362-01A-01W",0.75,3.16071382100356,"TCGA-04-1362-01","S0293689",0.86,3.15,0.00285657664946992,1
"19","TCGA-09-2044-01B-01D",0.76,1.86638234279681,"TCGA-09-2044-01","931070","TCGA-09-2044-01B-01D",0.76,1.86632418984594,"TCGA-09-2044-01","931070",0.89,1.88,0.0136176572031899,1
"21","TCGA-13-0755-01A-01W",0.83,1.87818488907475,"TCGA-13-0755-01","931070","TCGA-13-0755-01A-01W",0.82,1.87800320943714,"TCGA-13-0755-01","931070",0.84,1.87,0.00818488907474979,1
"23","TCGA-13-0760-01A-01W",0.77,2.77307725293,"TCGA-13-0760-01","931070","TCGA-13-0760-01A-01W",0.77,2.7739531420418,"TCGA-13-0760-01","931070",0.81,2.68,0.0930772529299997,1
"25","TCGA-13-0791-01A-01W",0.79,4.28978861804036,"TCGA-13-0791-01","931070","TCGA-13-0791-01A-01W",0.78,4.30705038313054,"TCGA-13-0791-01","931070",0.89,2.12,2.16978861804036,1
"28","TCGA-13-0795-01A-01W",0.46,3.8168866101332,"TCGA-13-0795-01","S0293689","TCGA-13-0795-01A-01W",0.46,3.8123862759558,"TCGA-13-0795-01","S0293689",0.48,3.74,0.0768866101332,1
"29","TCGA-13-0800-01A-01W",0.72,3.6649836675359,"TCGA-13-0800-01","931070","TCGA-13-0800-01A-01W",0.72,3.6595051518917,"TCGA-13-0800-01","931070",0.8,3.59,0.0749836675359004,1
"31","TCGA-13-0804-01A-01W",0.82,1.80838147652954,"TCGA-13-0804-01","931070","TCGA-13-0894-01B-01W",0.36,4.40713566994994,"TCGA-13-0894-01","931070",0.86,1.81,0.00161852347045999,1
"34","TCGA-13-0884-01B-01W",0.58,4.00778605608357,"TCGA-13-0884-01","S0293689","TCGA-13-1403-01A-01W",0.88,2.07081185853545,"TCGA-13-1403-01","S0293689",0.58,4,0.00778605608357008,1
"38","TCGA-13-1403-01A-01W",0.88,2.0708117396141,"TCGA-13-1403-01","S0293689","TCGA-13-1412-01A-01W",0.67,2.08395043893106,"TCGA-13-1412-01","S0293689",0.93,2.08,0.00918826038589993,1
