"","Sampleid","Purity","Ploidy","Flagged","Comment","submitter_id","capture_kit"
"1","TCGA-04-1332-01A-01W",0.32,2.49867941257764,TRUE,"NOISY SEGMENTATION","TCGA-04-1332-01","931070"
"158","TCGA-04-1332-01A-01W",0.55,2.72362178026807,TRUE,"NOISY SEGMENTATION","TCGA-04-1332-01","S0293689"
"3","TCGA-04-1336-01A-01W",0.89,1.78904963942807,FALSE,NA,"TCGA-04-1336-01","931070"
"259","TCGA-04-1336-01A-01W",0.87,1.79844785906126,TRUE,"POTENTIAL SAMPLE CONTAMINATION","TCGA-04-1336-01","S0293689"
"4","TCGA-04-1343-01A-01W",0.56,3.07033279115721,FALSE,NA,"TCGA-04-1343-01","931070"
"295","TCGA-04-1343-01A-01W",0.58,3.06630716490689,TRUE,"NOISY SEGMENTATION","TCGA-04-1343-01","S0293689"
"5","TCGA-04-1346-01A-01W",0.52,3.28537438904576,TRUE,"NOISY SEGMENTATION","TCGA-04-1346-01","931070"
"197","TCGA-04-1346-01A-01W",0.51,3.33170171434401,TRUE,"NOISY SEGMENTATION","TCGA-04-1346-01","S0293689"
"6","TCGA-04-1347-01A-01W",0.85,4.19186485252538,TRUE,"NOISY SEGMENTATION","TCGA-04-1347-01","931070"
"247","TCGA-04-1347-01A-01W",0.81,4.17375819556183,TRUE,"NOISY SEGMENTATION","TCGA-04-1347-01","S0293689"
"7","TCGA-04-1348-01A-01W",0.72,1.92446590546945,TRUE,"NOISY SEGMENTATION","TCGA-04-1348-01","931070"
"251","TCGA-04-1348-01A-01W",0.69,1.94057836173124,TRUE,"HIGH AT- OR GC-DROPOUT","TCGA-04-1348-01","S0293689"
"8","TCGA-04-1349-01A-01W",0.71,3.32673767528835,FALSE,NA,"TCGA-04-1349-01","931070"
"311","TCGA-04-1349-01A-01W",0.72,3.34347035702122,TRUE,"NOISY SEGMENTATION","TCGA-04-1349-01","S0293689"
"9","TCGA-04-1361-01A-01W",0.69,1.91159460148247,TRUE,"NOISY SEGMENTATION","TCGA-04-1361-01","931070"
"179","TCGA-04-1361-01A-01W",0.63,2.08002915833844,TRUE,"HIGH AT- OR GC-DROPOUT","TCGA-04-1361-01","S0293689"
"10","TCGA-04-1362-01A-01W",0.8,3.14582759086451,TRUE,"NOISY SEGMENTATION","TCGA-04-1362-01","931070"
"306","TCGA-04-1362-01A-01W",0.77,3.15285657664947,TRUE,"POTENTIAL SAMPLE CONTAMINATION","TCGA-04-1362-01","S0293689"
"13","TCGA-09-2044-01B-01D",0.76,1.86638234279681,TRUE,"NOISY SEGMENTATION","TCGA-09-2044-01","931070"
"14","TCGA-09-2044-01B-01W",0.81,1.86196543634443,TRUE,"POTENTIAL SAMPLE CONTAMINATION","TCGA-09-2044-01","931070"
"25","TCGA-13-0755-01A-01W",0.83,1.87818488907475,TRUE,"NOISY SEGMENTATION","TCGA-13-0755-01","931070"
"314","TCGA-13-0755-01A-01W",0.84,1.88345067864144,TRUE,"HIGH AT- OR GC-DROPOUT","TCGA-13-0755-01","S0293689"
"27","TCGA-13-0760-01A-01W",0.77,2.77307725293,TRUE,"NOISY SEGMENTATION","TCGA-13-0760-01","931070"
"291","TCGA-13-0760-01A-01W",0.78,2.77535649202294,TRUE,"NOISY SEGMENTATION","TCGA-13-0760-01","S0293689"
"28","TCGA-13-0791-01A-01W",0.79,4.28978861804036,TRUE,"NOISY SEGMENTATION","TCGA-13-0791-01","931070"
"294","TCGA-13-0791-01A-01W",0.79,4.33308455118459,TRUE,"NOISY SEGMENTATION","TCGA-13-0791-01","S0293689"
"29","TCGA-13-0795-01A-01W",0.46,3.8212691936238,TRUE,"NOISY SEGMENTATION","TCGA-13-0795-01","931070"
"189","TCGA-13-0795-01A-01W",0.46,3.8168866101332,TRUE,"NOISY SEGMENTATION","TCGA-13-0795-01","S0293689"
"30","TCGA-13-0800-01A-01W",0.72,3.6649836675359,FALSE,NA,"TCGA-13-0800-01","931070"
"229","TCGA-13-0800-01A-01W",0.72,3.70171478497467,TRUE,"NOISY SEGMENTATION","TCGA-13-0800-01","S0293689"
"31","TCGA-13-0804-01A-01W",0.82,1.80838147652954,TRUE,"NOISY SEGMENTATION","TCGA-13-0804-01","931070"
"188","TCGA-13-0804-01A-01W",0.86,1.80420917254792,TRUE,"NOISY SEGMENTATION","TCGA-13-0804-01","S0293689"
"32","TCGA-13-0884-01B-01W",0.59,4.01337511445747,TRUE,"NOISY SEGMENTATION","TCGA-13-0884-01","931070"
"177","TCGA-13-0884-01B-01W",0.58,4.00778605608357,TRUE,"NOISY SEGMENTATION","TCGA-13-0884-01","S0293689"
"33","TCGA-13-0894-01B-01W",0.36,4.39434468064464,TRUE,"NOISY SEGMENTATION","TCGA-13-0894-01","931070"
"264","TCGA-13-0894-01B-01W",0.35,4.38951878213556,TRUE,"NOISY SEGMENTATION","TCGA-13-0894-01","S0293689"
"34","TCGA-13-1403-01A-01W",0.88,2.06127233061349,TRUE,"NOISY SEGMENTATION","TCGA-13-1403-01","931070"
"201","TCGA-13-1403-01A-01W",0.88,2.0708117396141,TRUE,"POTENTIAL SAMPLE CONTAMINATION","TCGA-13-1403-01","S0293689"
"35","TCGA-13-1411-01A-01W",0.39,2.9289114489939,TRUE,"NOISY SEGMENTATION","TCGA-13-1411-01","931070"
"234","TCGA-13-1411-01A-01W",0.4,2.87582418169045,TRUE,"NOISY SEGMENTATION","TCGA-13-1411-01","S0293689"
"36","TCGA-13-1412-01A-01W",0.65,2.06465733531698,TRUE,"NOISY SEGMENTATION","TCGA-13-1412-01","931070"
"241","TCGA-13-1412-01A-01W",0.67,2.08896919969921,TRUE,"NOISY SEGMENTATION","TCGA-13-1412-01","S0293689"
"45","TCGA-20-0996-01A-03W",0.15,1.89434585544207,TRUE,"NOISY SEGMENTATION","TCGA-20-0996-01","931070"
"180","TCGA-20-0996-01A-03W",0.15,1.83902543070582,TRUE,"NOISY SEGMENTATION","TCGA-20-0996-01","S0293689"
"46","TCGA-23-1021-01B-01W",0.79,3.1193544879902,FALSE,NA,"TCGA-23-1021-01","931070"
"195","TCGA-23-1021-01B-01W",0.78,3.13571965514171,TRUE,"NOISY SEGMENTATION","TCGA-23-1021-01","S0293689"
