"","SampleId","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"1","TCGA-04-1332-01A-01W",0.32,2.49867941257764,0.32,2.62031302215723
"3","TCGA-04-1336-01A-01W",0.89,1.78904963942807,0.89,1.78912194066603
"4","TCGA-04-1343-01A-01W",0.56,3.07033279115721,0.56,3.07010055252418
"5","TCGA-04-1346-01A-01W",0.52,3.28537438904576,0.51,3.28134012438977
"6","TCGA-04-1347-01A-01W",0.85,4.19186485252538,0.84,4.19624437075671
"7","TCGA-04-1348-01A-01W",0.72,1.92446590546945,0.72,1.92298973980924
"8","TCGA-04-1349-01A-01W",0.71,3.32673767528835,0.7,3.32675880731273
"9","TCGA-04-1361-01A-01W",0.69,1.91159460148247,0.68,1.93355427102936
"10","TCGA-04-1362-01A-01W",0.8,3.14582759086451,0.79,3.15928463106352
"12","TCGA-09-2043-01A-01W",0.82,2.30864965427449,0.82,2.30866357408839
"13","TCGA-09-2044-01B-01D",0.76,1.86638234279681,0.76,1.86632418984594
"14","TCGA-09-2044-01B-01W",0.81,1.86196543634443,0.81,1.86208976796223
"15","TCGA-09-2045-01A-01W",0.89,2.027517146594,0.89,2.02757216194034
"16","TCGA-09-2049-01D-01W",0.87,3.26819508143351,0.88,3.2679698948669
"17","TCGA-09-2050-01A-01W",0.93,1.75303684271155,0.94,1.75279104408196
"18","TCGA-09-2051-01A-01W",0.63,3.54511166447542,0.7,4.46039938245142
"19","TCGA-09-2053-01C-01W",0.66,1.68830473865202,0.66,1.68871213555715
"20","TCGA-09-2055-01B-01W",0.81,1.92918853031484,0.81,1.9290305848056
"21","TCGA-09-2056-01B-01W",0.86,1.74544664143072,0.86,1.7454371143957
"23","TCGA-10-0934-01A-02D",0.86,2.02187628123285,0.86,2.02197519132642
"24","TCGA-13-0751-01A-01D",0.91,2.80752832415024,0.92,2.80707918299924
"25","TCGA-13-0755-01A-01W",0.83,1.87818488907475,0.82,1.87800320943714
"26","TCGA-13-0757-01A-01D",0.71,3.89963203727523,0.7,3.94237912967906
"27","TCGA-13-0760-01A-01W",0.77,2.77307725293,0.77,2.7739531420418
"28","TCGA-13-0791-01A-01W",0.79,4.28978861804036,0.78,4.30705038313054
"29","TCGA-13-0795-01A-01W",0.46,3.8212691936238,0.47,3.76346723650768
"30","TCGA-13-0800-01A-01W",0.72,3.6649836675359,0.72,3.6595051518917
"33","TCGA-13-0894-01B-01W",0.36,4.39434468064464,0.36,4.40713566994994
"34","TCGA-13-1403-01A-01W",0.88,2.06127233061349,0.88,2.06090768670363
"35","TCGA-13-1411-01A-01W",0.39,2.9289114489939,0.39,2.93337534682807
"36","TCGA-13-1412-01A-01W",0.65,2.06465733531698,0.66,2.06025084462718
"37","TCGA-13-1477-01A-01D",0.75,2.07361074915945,0.75,2.07223294366043
"40","TCGA-13-1500-01A-01D",0.74,1.87273698394391,0.61,3.72254530472937
"41","TCGA-13-1505-01A-01D",0.73,3.69537880454571,0.73,3.70475280465892
"43","TCGA-13-2060-01A-01W",0.58,3.30366611411943,0.58,3.30837739039279
"44","TCGA-20-0991-01A-03D",0.51,3.51773612578585,0.44,3.74060078902886
"45","TCGA-20-0996-01A-03W",0.15,1.89434585544207,0.15,1.90353049623468
"46","TCGA-23-1021-01B-01W",0.79,3.1193544879902,0.79,3.11933299728739
"47","TCGA-23-1022-01A-02W",0.86,2.94865320419238,0.86,2.95402012320377
"48","TCGA-23-1110-01A-01D",0.9,3.10118757810795,0.91,3.10119428753294
"49","TCGA-23-1117-01A-02W",0.61,3.39269459745363,0.68,4.51034617022283
"50","TCGA-23-1118-01A-01W",0.51,5.08126496534309,0.51,5.0815419467233
"51","TCGA-23-1123-01A-01W",0.78,2.95262581630622,0.78,2.93598763632213
"52","TCGA-23-1124-01A-01W",0.73,3.30808010499761,0.73,3.30787370946063
"53","TCGA-23-2072-01A-01W",0.78,2.70138366154766,0.76,2.70159137766456
"54","TCGA-23-2077-01A-01W",0.56,2.83384617721324,0.55,2.85139073676872
"55","TCGA-23-2078-01A-01W",0.67,3.00418568995954,0.48,3.82579546903755
"56","TCGA-23-2079-01A-01W",0.75,2.46614721084547,0.75,2.46623588348596
"57","TCGA-23-2081-01A-01W",0.8,1.83142524583486,0.8,1.83162098747944
"58","TCGA-23-2084-01A-02W",0.75,2.77407302663873,0.75,2.77407659486112
"59","TCGA-24-1431-01A-01D",0.86,2.70762140954463,0.87,2.70614971296814
"61","TCGA-24-1927-01A-01W",0.73,1.907472145364,0.73,1.91305884409769
"63","TCGA-24-2019-01A-02W",0.72,3.00775194516034,0.72,3.00765740129788
"64","TCGA-24-2024-01A-02W",0.85,1.75852361148133,0.85,1.75852361148133
"66","TCGA-24-2030-01A-01W",0.79,2.91943066194816,0.79,2.92658156797595
"67","TCGA-24-2033-01A-01W",0.77,3.22311962862186,0.77,3.21617903631189
"68","TCGA-24-2035-01A-01W",0.61,1.94526161878793,0.61,1.94555471888833
"69","TCGA-24-2036-01A-01W",0.9,1.91636799945411,0.91,1.91620566989409
"70","TCGA-24-2038-01A-01W",0.91,2.20274077900559,0.91,2.20273728965369
"71","TCGA-24-2254-01A-01W",0.78,1.74921891951197,0.78,1.74924272895409
"72","TCGA-24-2260-01A-01W",0.78,3.17605682967589,0.77,3.17474661752302
"73","TCGA-24-2261-01A-01W",0.68,2.84969896631562,0.68,2.8497167126335
"74","TCGA-24-2262-01A-01W",0.75,1.98017231599568,0.74,1.98015912420353
"75","TCGA-24-2267-01A-01W",0.56,2.93194745580578,0.56,2.93158138288886
"76","TCGA-24-2271-01A-01W",0.68,1.86553222817314,0.67,1.86553587237081
"77","TCGA-24-2280-01A-01W",0.53,3.53590901006107,0.52,3.52426757593543
"78","TCGA-24-2281-01A-01W",0.5,3.62762901280855,0.5,3.63064751253302
"79","TCGA-24-2288-01A-01W",0.61,3.02042039790774,0.61,3.00110699818065
"80","TCGA-24-2289-01A-01W",0.59,2.50925131006267,0.58,2.55460780022204
"81","TCGA-24-2290-01A-01W",0.75,3.61889487790325,0.75,3.61892687528016
"82","TCGA-24-2293-01A-01W",0.55,2.5740738257325,0.55,2.54694193110637
"83","TCGA-24-2295-01A-01W",0.95,4.53383927836143,0.81,4.54532065807952
"84","TCGA-24-2298-01A-01W",0.72,2.58661622905576,0.72,2.58613289875525
