"","Sampleid","Purity","Ploidy","Sex","Contamination","Flagged","Failed","Curated","Comment"
"1","fb5f583f2296299b66c1ebe87aabf4d6_gdc_realn",0.55,3.50156985746041,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"2","X080342dd5fcf9ab05e4b72ee8fe05868_gdc_realn",0.57,4.54180785029062,"FALSE",0,TRUE,FALSE,FALSE,"RARE KARYOTYPE;NOISY SEGMENTATION"
"3","X4472a64f4022a553a162e8f5adc8da26_gdc_realn",0.95,2.00980055105015,"Coverage: F VCF: M",0,TRUE,FALSE,FALSE,"HIGH PURITY AND model.homozygous=FALSE;NOISY SEGMENTATION"
"4","b6c7cba7b9637db06758e747cbf8a195_gdc_realn",0.58,3.91560813275833,"FALSE",0.0157765612824292,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"5","X7c7ef95fbac93ec90a602b36fbf6b1e1_gdc_realn",0.77,1.87627193402524,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"6","c95ea8ef150b7b9c2d17067add98f4b0_gdc_realn",0.6,5.49851805716572,"FALSE",0.00744659518535473,TRUE,FALSE,FALSE,"RARE KARYOTYPE;NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"7","d794268cd5b0089c064063f882f92ecb_gdc_realn",0.78,1.92511262647955,"FALSE",0,TRUE,FALSE,FALSE,"POOR GOF (77.8%);NOISY SEGMENTATION"
"8","X698d18a0217b31ce25bea87df243b977_gdc_realn",0.85,1.72865907329152,"FALSE",0.00977958961707483,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"9","X86df7ac83fff793eab1ae16dce8ed25f_gdc_realn",0.51,3.64260389900607,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"10","a5c97e46b1451fba5992b0766e6faa33_gdc_realn",0.67,1.90769218914989,"FALSE",0,TRUE,FALSE,FALSE,"POOR GOF (79.5%);NOISY SEGMENTATION"
"11","X7ec8d58cd1ebf3413998144f5bfb0d56_gdc_realn",0.64,3.72133414896128,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"12","ac9e6dd9d4276f5e87508f647f047a91_gdc_realn",0.61,3.34464863207323,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"13","c45f8b258ae7fa626ba91ab998bea0b9_gdc_realn",0.8,3.56717307241464,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"14","X6f6da6cbea41ef666f204f64c7502c30_gdc_realn",0.69,3.36073575025312,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"15","ed9283c500f5b389065939a67a94fad1_gdc_realn",0.88,1.9043316065841,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"16","c411f6094ca6555ff30a91dc525b450f_gdc_realn",0.92,1.89555755778429,"FALSE",0,TRUE,FALSE,FALSE,"HIGH PURITY AND model.homozygous=FALSE;NOISY SEGMENTATION"
