"","x"
"1","TCGA-05-4244-01A-01D"
"2","TCGA-05-4249-01A-01D"
"3","TCGA-05-4250-01A-01D"
"4","TCGA-05-4382-01A-01D"
"5","TCGA-05-4384-01A-01D"
"6","TCGA-05-4389-01A-01D"
"7","TCGA-05-4390-01A-02D"
"8","TCGA-05-4395-01A-01D"
"9","TCGA-05-4396-01A-21D"
"10","TCGA-05-4397-01A-01D"
"11","TCGA-05-4398-01A-01D"
"12","TCGA-05-4402-01A-01D"
"13","TCGA-05-4403-01A-01D"
"14","TCGA-05-4405-01A-21D"
"15","TCGA-05-4410-01A-21D"
"16","TCGA-05-4415-01A-22D"
"17","TCGA-05-4417-01A-22D"
"18","TCGA-05-4418-01A-01D"
"19","TCGA-05-4420-01A-01D"
"20","TCGA-05-4422-01A-01D"
"21","TCGA-05-4424-01A-22D"
"22","TCGA-05-4425-01A-01D"
"23","TCGA-05-4426-01A-01D"
"24","TCGA-05-4427-01A-21D"
"25","TCGA-05-4430-01A-02D"
"26","TCGA-05-4432-01A-01D"
"27","TCGA-05-4433-01A-22D"
"28","TCGA-05-4434-01A-01D"
"29","TCGA-05-5423-01A-01D"
"30","TCGA-05-5425-01A-02D"
"31","TCGA-05-5428-01A-01D"
"32","TCGA-05-5429-01A-01D"
"33","TCGA-05-5715-01A-01D"
"34","TCGA-35-4122-01A-01D"
"35","TCGA-35-4123-01A-01D"
"36","TCGA-35-5375-01A-01D"
"37","TCGA-38-4625-01A-01D"
"38","TCGA-38-4626-01A-01D"
"39","TCGA-38-4627-01A-01D"
"40","TCGA-38-4628-01A-01D"
"41","TCGA-38-4631-01A-01D"
"42","TCGA-38-4632-01A-01D"
"43","TCGA-38-6178-01A-11D"
"44","TCGA-38-7271-01A-11D"
"45","TCGA-38-A44F-01A-11D"
"46","TCGA-44-6779-01A-11D"
"47","TCGA-44-8117-01A-11D"
"48","TCGA-44-8119-01A-11D"
"49","TCGA-44-8120-01A-11D"
"50","TCGA-44-A479-01A-31D"
"51","TCGA-44-A47A-01A-21D"
"52","TCGA-44-A47B-01A-11D"
"53","TCGA-44-A47F-01A-11D"
"54","TCGA-44-A47G-01A-21D"
"55","TCGA-44-A4SS-01A-11D"
"56","TCGA-44-A4SU-01A-11D"
"57","TCGA-49-4486-01A-01D"
"58","TCGA-49-4487-01A-21D"
"59","TCGA-49-4488-01A-01D"
"60","TCGA-49-4490-01A-21D"
"61","TCGA-49-4494-01A-01D"
"62","TCGA-49-4501-01A-01D"
"63","TCGA-49-4505-01A-01D"
"64","TCGA-49-4506-01A-01D"
"65","TCGA-49-4507-01A-01D"
"66","TCGA-49-4510-01A-01D"
"67","TCGA-49-4512-01A-21D"
"68","TCGA-49-4514-01A-21D"
"69","TCGA-49-6742-01A-11D"
"70","TCGA-49-6743-01A-11D"
"71","TCGA-49-6744-01A-11D"
"72","TCGA-49-6745-01A-11D"
"73","TCGA-49-6761-01A-31D"
"74","TCGA-49-6767-01A-11D"
"75","TCGA-49-AAQV-01A-11D"
"76","TCGA-49-AAR0-01A-21D"
"77","TCGA-49-AAR2-01A-11D"
"78","TCGA-49-AAR3-01A-11D"
"79","TCGA-49-AAR4-01A-12D"
"80","TCGA-49-AAR9-01A-21D"
"81","TCGA-49-AARE-01A-11D"
"82","TCGA-49-AARN-01A-21D"
"83","TCGA-49-AARO-01A-12D"
"84","TCGA-49-AARQ-01A-11D"
"85","TCGA-49-AARR-01A-11D"
"86","TCGA-4B-A93V-01A-11D"
"87","TCGA-50-5044-01A-21D"
"88","TCGA-50-5045-01A-01D"
"89","TCGA-50-5049-01A-01D"
"90","TCGA-50-5051-01A-21D"
"91","TCGA-50-5055-01A-01D"
"92","TCGA-50-5068-01A-01D"
"93","TCGA-50-5072-01A-21D"
"94","TCGA-50-5930-01A-11D"
"95","TCGA-50-5931-01A-11D"
"96","TCGA-50-5932-01A-11D"
"97","TCGA-50-5933-01A-11D"
"98","TCGA-50-5935-01A-11D"
"99","TCGA-50-5936-01A-11D"
"100","TCGA-50-5939-01A-11D"
"101","TCGA-50-5941-01A-11D"
"102","TCGA-50-5942-01A-21D"
"103","TCGA-50-5944-01A-11D"
"104","TCGA-50-6590-01A-12D"
